katedra,zkratka,idno,typAkceZkr,rok,datumOd,datumDo,hodinaSkutOd,hodinaSkutDo,katedra_right,nazev,prednasejici,prednasejiciUcitIdno,jmena
KPRF,0101,556,Př,2023,2.10.2023,18.12.2023,16:00,17:50,KPRF,Úvod do meteorologie,"",,
KCH,B100,2856,Př,2023,3.10.2023,2.1.2024,12:00,13:50,KCH,Úvod do chemie,"'doc. RNDr. Jan Jirsák, Ph.D.'",2855,"Škvorová Magda, Ing. Ph.D."
KCH,B104,8421,Př,2023,20.2.2024,14.5.2024,12:00,13:50,KCH,Anorganická chemie,"'RNDr. Václav Šícha, Ph.D.'",4310,"Vojtíšek Pavel, doc. RNDr. CSc."
KGEO,B203,3164,Př,2023,21.2.2024,15.5.2024,17:00,18:50,KGEO,Geografie Česka I,"'doc. Mgr. Pavel Raška, Ph.D.'",1434,"Riezner Jiří, Mgr. Ph.D."
KGEO,B206,6384,Př,2023,21.2.2024,15.5.2024,08:00,09:50,KGEO,Regionální geografie I,"'doc. RNDr. Jiří Anděl, CSc.'",312,"Trahorsch Petr, Mgr. Ph.D."
KGEO,B309,828,Př,2023,6.10.2023,5.1.2024,11:00,12:50,KGEO,EU a střední Evropa II,"'doc. RNDr. Jiří Anděl, CSc.'",312,
KGEO,B400,3452,Př,2023,21.2.2024,15.5.2024,10:00,11:50,KGEO,Regionální geografie III,"'doc. RNDr. Jiří Anděl, CSc.'",312,"Bláha Jan Daniel, doc. PhDr. RNDr. Ph.D."
KGEO,B402,7684,Př,2023,20.2.2024,14.5.2024,10:00,11:50,KGEO,Globální problémy,"'RNDr. Tomáš Matějček, Ph.D.'",1472,"Smutná Zdeňka, Mgr."
KGEO,B412,3452,Př,2023,21.2.2024,15.5.2024,10:00,11:50,KGEO,Regionální geografie III,"'doc. RNDr. Jiří Anděl, CSc.'",312,"Bláha Jan Daniel, doc. PhDr. RNDr. Ph.D."
KGEO,B414,4222,Př,2023,20.2.2024,14.5.2024,17:00,18:50,KGEO,Ekonomická geografie II,"",,"Hruška Vladan, Mgr. Ph.D."
