garantiUcitIdno,garanti,katedra,zkratka,pocet garantu
"315,3164","'RNDr. Ivan Farský, CSc.', 'Mgr. Jiří Riezner, Ph.D.'",KGEO,0023,2
"3452,3528","'doc. PhDr. RNDr. Jan Daniel Bláha, Ph.D.', 'RNDr. Silvie Rita Kučerová, Ph.D.'",KGEO,B600,2
"1999,8280","'RNDr. Blanka Desortová, CSc.', 'Mgr. Pavla Urbánková, Ph.D.'",KBI,BK108,2
"425,267","'PhDr. Magdalena Krátká, Ph.D.', 'PhDr. Jiří Přibyl, Ph.D.'",KMA,KA00,2
"69,3222","'prof. RNDr. Rudolf Hrach, DrSc.', 'doc. RNDr. Filip Moučka, Ph.D.'",KFY,KPM,2
"301,425","'RNDr. Eva Hejnová, Ph.D.', 'PhDr. Magdalena Krátká, Ph.D.'",KFY,KPSPP,2
"264,615","'RNDr. Martin Kuřil, Ph.D.', 'doc. RNDr. Michal Varady, Ph.D.'",KFY,KSBP,2
"1434,4747","'doc. Mgr. Pavel Raška, Ph.D.', 'doc. Ing. Lenka Slavíková, Ph.D.'",KGEO,PD101,2
"69,3222","'prof. RNDr. Rudolf Hrach, DrSc.', 'doc. RNDr. Filip Moučka, Ph.D.'",KFY,PM,2
"301,425","'RNDr. Eva Hejnová, Ph.D.', 'PhDr. Magdalena Krátká, Ph.D.'",KFY,PSPP,2
