garantiUcitIdno;garanti;katedra;zkratka;pocet garantu
6009,923;'Ing. Marek Vokoun, Ph.D.', 'doc. RNDr. Marta ambochová, Ph.D.';KEMA;MAPMA;2
8152,6009;'Ing. Martin Špaèek, PhD.', 'Ing. Marek Vokoun, Ph.D.';KEMA;MSTMA;2
4625,4671;'doc. Ing. Jan Slavík, Ph.D.', 'doc. Ing. Daniel Šastnı, Ph.D.';KFSE;DODIP;2
4625,4671;'doc. Ing. Jan Slavík, Ph.D.', 'doc. Ing. Daniel Šastnı, Ph.D.';KFSE;DSOTD;2
1644,4625,4747;'doc. RNDr. Jaroslav Koutskı, Ph.D.', 'doc. Ing. Jan Slavík, Ph.D.', 'doc. Ing. Lenka Slavíková, Ph.D.';KFSE;DSRPG;3
6120,4682;'Ing. Lucie Kopáèková, Ph.D.', 'doc. Ing. Slavomíra Svátková, CSc.';KFU;XPV03;2
125,518;'Mgr. Ondøej Moc, Ph.D.', 'Ing. Tomáš Šperk';KMI;KINFO;2
125,37;'Mgr. Ondøej Moc, Ph.D.', 'RNDr. Jana Šimsová, Ph.D.';KMI;KMAEK;2
1456,125,518;'Mgr. Ing. Jana Gabèanová', 'Mgr. Ondøej Moc, Ph.D.', 'Ing. Tomáš Šperk';KMI;PINFO;3
125,37;'Mgr. Ondøej Moc, Ph.D.', 'RNDr. Jana Šimsová, Ph.D.';KMI;PMAEK;2
535,2758;'doc. PhDr. Václav Houvièka, Ph.D.', 'doc. Dr. phil. Lukáš Novotnı, M.A.';KPP;KPLTL;2
9493,4151;'prof. JUDr. PhDr. David Elischer, Ph.D.', 'doc. JUDr. Pavel Mates, CSc.';KPP;PZPRA;2
1644,6897;'doc. RNDr. Jaroslav Koutskı, Ph.D.', 'Ing. Tomáš Sıkora, Ph.D.';KRRVS;5ODEX;2
1644,6897;'doc. RNDr. Jaroslav Koutskı, Ph.D.', 'Ing. Tomáš Sıkora, Ph.D.';KRRVS;5PV07;2
1644,6897;'doc. RNDr. Jaroslav Koutskı, Ph.D.', 'Ing. Tomáš Sıkora, Ph.D.';KRRVS;5UVDR;2
2142,4625;'Ing. Petra Olšová, Ph.D.', 'doc. Ing. Jan Slavík, Ph.D.';KRRVS;5VESP;2
1644,6897;'doc. RNDr. Jaroslav Koutskı, Ph.D.', 'Ing. Tomáš Sıkora, Ph.D.';KRRVS;FODEX;2
1644,6897;'doc. RNDr. Jaroslav Koutskı, Ph.D.', 'Ing. Tomáš Sıkora, Ph.D.';KRRVS;FPV07;2
1644,6897;'doc. RNDr. Jaroslav Koutskı, Ph.D.', 'Ing. Tomáš Sıkora, Ph.D.';KRRVS;FUVDR;2
2142,4625;'Ing. Petra Olšová, Ph.D.', 'doc. Ing. Jan Slavík, Ph.D.';KRRVS;FVESP;2
1644,6897;'doc. RNDr. Jaroslav Koutskı, Ph.D.', 'Ing. Tomáš Sıkora, Ph.D.';KRRVS;KPV07;2
2142,4747;'Ing. Petra Olšová, Ph.D.', 'doc. Ing. Lenka Slavíková, Ph.D.';KRRVS;MDSRR;2
1644,6897;'doc. RNDr. Jaroslav Koutskı, Ph.D.', 'Ing. Tomáš Sıkora, Ph.D.';KRRVS;MIMAK;2
1644,6897;'doc. RNDr. Jaroslav Koutskı, Ph.D.', 'Ing. Tomáš Sıkora, Ph.D.';KRRVS;MINMA;2
476,1434;'doc. Ing. Petr Hlaváèek, Ph.D.', 'doc. Mgr. Pavel Raška, Ph.D.';KRRVS;MPV13;2
1644,6897;'doc. RNDr. Jaroslav Koutskı, Ph.D.', 'Ing. Tomáš Sıkora, Ph.D.';KRRVS;PPV07;2
2937,24;'doc. PhDr. Pavel Kuchaø, CSc.', 'Ing. Dita Štyvarová, Ph.D.';KSP;6ANSP;2
2937,24;'doc. PhDr. Pavel Kuchaø, CSc.', 'Ing. Dita Štyvarová, Ph.D.';KSP;GANSP;2
